report_date,region,area_cluster,station_id,total_delivery_vol,delivery_buyer
2024-09-12,NCR,NCR2 Metro Manila East,1232,16525,13283
2024-09-12,NCR,NCR2 Metro Manila East,1242,19666,15574
2024-09-12,NCR,NCR2 Metro Manila East,1365,16702,13974
2024-09-12,NCR,NCR2 Metro Manila East,2201,16825,13710
2024-09-12,NCR,NCR2 Metro Manila East,2384,15523,12714
2024-09-12,NCR,NCR2 Metro Manila East,2647,10640,8763
2024-09-12,NCR,NCR2 Metro Manila East,2680,14992,12073
2024-09-12,NOL,NOL5 Bulacan,903,20101,16532
2024-09-12,SOL,SOL1 Laguna/Tanay,20,14743,11886
2024-09-12,SOL,SOL2 Cavite,273,10815,8548
2024-09-12,SOL,SOL2 Cavite,1476,13344,10481
2024-09-12,SOL,SOL2 Cavite,1705,19603,15666
2024-09-12,SOL,SOL2 Cavite,2268,12462,9990
2024-09-13,NCR,NCR1 Metro Manila West,9,12750,10313
2024-09-13,NCR,NCR1 Metro Manila West,11,7928,6619
2024-09-13,NCR,NCR1 Metro Manila West,13,9706,8145
2024-09-13,NCR,NCR1 Metro Manila West,434,19201,16010
2024-09-13,NCR,NCR1 Metro Manila West,1707,14132,11787
2024-09-13,NCR,NCR1 Metro Manila West,1770,9665,8032
2024-09-13,NCR,NCR1 Metro Manila West,2180,8834,7204
2024-09-13,NCR,NCR1 Metro Manila West,2266,15721,13080
2024-09-13,NCR,NCR1 Metro Manila West,3062,11137,9197
2024-09-13,NCR,NCR2 Metro Manila East,7,19429,15503
2024-09-13,NCR,NCR2 Metro Manila East,18,16076,13302
2024-09-13,NCR,NCR2 Metro Manila East,19,8478,7123
2024-09-13,NCR,NCR2 Metro Manila East,1232,13097,10845
2024-09-13,NCR,NCR2 Metro Manila East,1242,14918,12155
2024-09-13,NCR,NCR2 Metro Manila East,1365,14261,12008
2024-09-13,NCR,NCR2 Metro Manila East,2201,17328,14231
2024-09-13,NCR,NCR2 Metro Manila East,2384,12555,10496
2024-09-13,NCR,NCR2 Metro Manila East,2647,7982,6707
2024-09-13,NCR,NCR2 Metro Manila East,2680,12396,10341
2024-09-13,NOL,NOL5 Bulacan,903,15747,13181
2024-09-13,SOL,SOL1 Laguna/Tanay,20,11972,9977
2024-09-13,SOL,SOL2 Cavite,273,9537,7785
2024-09-13,SOL,SOL2 Cavite,1476,10880,8850
2024-09-13,SOL,SOL2 Cavite,1705,16612,13727
2024-09-13,SOL,SOL2 Cavite,2268,10101,8356
2024-09-14,NCR,NCR1 Metro Manila West,9,12754,10138
2024-09-14,NCR,NCR1 Metro Manila West,11,6770,5697
2024-09-14,NCR,NCR1 Metro Manila West,13,8416,7032
2024-09-14,NCR,NCR1 Metro Manila West,434,17001,14084
2024-09-14,NCR,NCR1 Metro Manila West,1707,11695,9825
2024-09-14,NCR,NCR1 Metro Manila West,1770,8476,6865
2024-09-14,NCR,NCR1 Metro Manila West,2180,7390,6036
2024-09-14,NCR,NCR1 Metro Manila West,2266,13673,11312
2024-09-14,NCR,NCR1 Metro Manila West,3062,9896,8084
2024-09-14,NCR,NCR2 Metro Manila East,7,14395,11642
2024-09-14,NCR,NCR2 Metro Manila East,18,13084,10972
2024-09-14,NCR,NCR2 Metro Manila East,19,7331,6060
2024-09-14,NCR,NCR2 Metro Manila East,1232,10338,8666
2024-09-14,NCR,NCR2 Metro Manila East,1242,11204,9141
2024-09-14,NCR,NCR2 Metro Manila East,1365,14258,11922
2024-09-14,NCR,NCR2 Metro Manila East,2201,15647,12934
