report_date,region,area_cluster,station_id,rr_pu_vol,rr_users
2024-09-12,NCR,NCR1 Metro Manila West,2266,119,94
2024-09-12,NCR,NCR1 Metro Manila West,3062,71,59
2024-09-12,NCR,NCR2 Metro Manila East,7,110,91
2024-09-12,NCR,NCR2 Metro Manila East,18,50,44
2024-09-12,NCR,NCR2 Metro Manila East,19,65,55
2024-09-12,NCR,NCR2 Metro Manila East,1232,58,49
2024-09-12,NCR,NCR2 Metro Manila East,1242,82,62
2024-09-12,NCR,NCR2 Metro Manila East,1365,70,55
2024-09-12,NCR,NCR2 Metro Manila East,2201,111,80
2024-09-12,NCR,NCR2 Metro Manila East,2384,49,43
2024-09-12,NCR,NCR2 Metro Manila East,2647,74,60
2024-09-12,NCR,NCR2 Metro Manila East,2680,47,40
2024-09-12,NOL,NOL5 Bulacan,903,83,73
2024-09-12,SOL,SOL1 Laguna/Tanay,20,60,47
2024-09-12,SOL,SOL2 Cavite,273,46,33
2024-09-12,SOL,SOL2 Cavite,1476,63,51
2024-09-12,SOL,SOL2 Cavite,1705,65,54
2024-09-12,SOL,SOL2 Cavite,2268,60,54
2024-09-13,NCR,NCR1 Metro Manila West,9,57,43
2024-09-13,NCR,NCR1 Metro Manila West,11,66,57
2024-09-13,NCR,NCR1 Metro Manila West,13,77,62
2024-09-13,NCR,NCR1 Metro Manila West,434,119,87
2024-09-13,NCR,NCR1 Metro Manila West,1707,78,67
2024-09-13,NCR,NCR1 Metro Manila West,1770,66,51
2024-09-13,NCR,NCR1 Metro Manila West,2180,65,56
2024-09-13,NCR,NCR1 Metro Manila West,2266,113,90
2024-09-13,NCR,NCR1 Metro Manila West,3062,76,61
2024-09-13,NCR,NCR2 Metro Manila East,7,143,107
2024-09-13,NCR,NCR2 Metro Manila East,18,100,80
2024-09-13,NCR,NCR2 Metro Manila East,19,56,50
2024-09-13,NCR,NCR2 Metro Manila East,1232,61,50
2024-09-13,NCR,NCR2 Metro Manila East,1242,90,76
2024-09-13,NCR,NCR2 Metro Manila East,1365,91,76
2024-09-13,NCR,NCR2 Metro Manila East,2201,120,92
2024-09-13,NCR,NCR2 Metro Manila East,2384,58,48
2024-09-13,NCR,NCR2 Metro Manila East,2647,61,47
2024-09-13,NCR,NCR2 Metro Manila East,2680,48,45
2024-09-13,NOL,NOL5 Bulacan,903,77,71
2024-09-13,SOL,SOL1 Laguna/Tanay,20,52,44
2024-09-13,SOL,SOL2 Cavite,273,53,45
2024-09-13,SOL,SOL2 Cavite,1476,51,46
2024-09-13,SOL,SOL2 Cavite,1705,71,57
2024-09-13,SOL,SOL2 Cavite,2268,89,67
2024-09-14,NCR,NCR1 Metro Manila West,9,57,48
2024-09-14,NCR,NCR1 Metro Manila West,11,47,41
2024-09-14,NCR,NCR1 Metro Manila West,13,70,60
2024-09-14,NCR,NCR1 Metro Manila West,434,144,103
2024-09-14,NCR,NCR1 Metro Manila West,1707,63,47
2024-09-14,NCR,NCR1 Metro Manila West,1770,47,42
2024-09-14,NCR,NCR1 Metro Manila West,2180,48,42
2024-09-14,NCR,NCR1 Metro Manila West,2266,103,90
2024-09-14,NCR,NCR1 Metro Manila West,3062,65,49
2024-09-14,NCR,NCR2 Metro Manila East,7,99,75
2024-09-14,NCR,NCR2 Metro Manila East,18,69,57
2024-09-14,NCR,NCR2 Metro Manila East,19,65,52
2024-09-14,NCR,NCR2 Metro Manila East,1232,74,59
2024-09-14,NCR,NCR2 Metro Manila East,1242,79,60
2024-09-14,NCR,NCR2 Metro Manila East,1365,94,71
2024-09-14,NCR,NCR2 Metro Manila East,2201,109,90
2024-09-14,NCR,NCR2 Metro Manila East,2384,57,50
2024-09-14,NCR,NCR2 Metro Manila East,2647,61,51
2024-09-14,NCR,NCR2 Metro Manila East,2680,60,48
2024-09-14,NOL,NOL5 Bulacan,903,89,71
2024-09-14,SOL,SOL1 Laguna/Tanay,20,74,67
2024-09-14,SOL,SOL2 Cavite,273,57,48
2024-09-14,SOL,SOL2 Cavite,1476,59,48
2024-09-14,SOL,SOL2 Cavite,1705,73,61
2024-09-14,SOL,SOL2 Cavite,2268,66,55
2024-09-15,NCR,NCR1 Metro Manila West,9,45,39
2024-09-15,NCR,NCR1 Metro Manila West,11,35,28
2024-09-15,NCR,NCR1 Metro Manila West,13,57,48
